timestamp,aX,aY,aZ,gX,gY,gZ
4142.824,0.993,0.073,0.156,2.747,-3.418,-4.517
4163.232,0.977,-0.015,0.155,13,-6.531,-10.803
4183.64,0.988,-0.019,0.188,13.977,-7.446,-8.972
4204.048,0.976,-0.066,0.218,16.663,-1.343,-7.446
4224.456,0.96,-0.118,0.146,12.634,6.714,-1.526
4244.864,0.958,-0.113,0.098,7.812,5.005,5.31
4265.272,0.979,-0.076,0.14,2.625,1.648,7.568
4285.68,1,-0.05,0.115,2.258,0.305,6.531
4306.088,1.012,-0.018,0.141,2.625,0.244,6.348
4326.496,1.02,-0.009,0.139,2.136,1.16,4.272
4346.904,1.003,-0.052,0.166,-0.366,1.892,2.38
4367.312,1,0.013,0.117,-3.906,7.019,6.348
4387.72,0.983,0.03,0.096,-1.831,5.31,1.465
4408.128,0.956,-0.029,0.117,0.244,3.418,-1.038
4428.536,0.935,-0.018,0.079,1.648,3.357,0.061
4448.944,0.932,-0.039,0.093,0.671,-0.488,1.038
4469.352,0.947,0.01,0.104,2.93,-2.014,4.578
4489.76,0.979,0.064,0.194,1.587,-6.531,2.869
4510.168,0.976,0.05,0.156,0.732,0.854,-0.793
4530.576,0.969,0.037,0.13,-0.732,1.465,-1.892
4550.984,0.969,0.022,0.119,-0.427,1.282,-3.662
4571.392,0.973,-0.002,0.113,-0.183,-2.319,-5.676
4591.8,0.966,-0.063,0.109,-1.587,-2.136,-4.15
4612.208,0.997,-0.031,0.161,-4.028,-4.578,-1.953
4632.616,0.998,-0.048,0.154,-0.977,-2.93,-3.418
4653.024,1.002,-0.039,0.163,1.892,-2.808,-1.648
4673.432,0.989,-0.068,0.156,1.831,-0.061,-2.441
4693.84,0.99,-0.052,0.167,2.014,-1.831,-1.77
4714.248,0.985,-0.054,0.169,2.258,-0.122,-1.16
4734.656,0.979,-0.061,0.145,2.075,2.38,0
4755.064,0.984,-0.046,0.161,2.014,1.221,0.305
4775.472,0.973,-0.056,0.188,4.089,-0.244,-0.427
4795.88,0.978,-0.019,0.177,0.549,1.709,1.221
4816.288,0.971,-0.037,0.182,0,2.563,0.488
4836.696,0.974,0.012,0.141,-0.793,4.333,1.587
4857.104,0.639,0.816,1.569,63.66,-113.647,3.357
4877.512,0.545,0.545,1.129,63.721,-50.537,-47.119
4897.92,0.468,0.511,0.412,77.209,-58.044,-76.599
4918.328,0.379,0.205,0.27,143.25,-105.225,-137.573
4938.736,0.199,-0.361,0.142,136.658,-115.845,-150.085
4959.144,0.371,-0.331,0.479,114.075,-151.917,-126.587
4979.552,0.479,0.042,0.944,133.728,-172.791,-126.526
4999.96,0.355,0.22,1.615,155.457,-151.855,-168.213
5020.368,0.184,-0.389,1.525,127.014,-76.599,-226.685
5040.776,0.211,-0.577,1.788,88.806,-34.18,-229.797
5061.184,0.133,-0.672,1.587,75.195,8.667,-227.295
5081.592,-0.035,-0.847,1.803,56.641,24.109,-235.596
5102,-0.251,-1.256,1.777,53.04,64.819,-245.911
5122.408,-0.374,-1.752,1.549,34.973,114.319,-210.449
5142.816,-0.334,-1.656,1.319,20.386,133.972,-137.939
5163.224,-0.288,-1.649,1.177,6.897,140.381,-101.807
5183.632,-0.311,-1.681,1.302,-16.357,146.423,-83.191
5204.04,-0.424,-1.67,1.242,-23.926,176.453,-55.115
5224.448,-0.527,-1.793,0.991,-7.507,177.368,-34.302
5244.856,-0.428,-1.706,0.963,-13.672,173.889,-8.85
5265.264,-0.447,-1.54,0.676,-42.297,188.049,24.109
5285.672,-0.371,-1.442,0.663,-35.95,178.406,17.883
5306.08,-0.362,-1.358,0.421,-30.273,173.462,31.677
5326.488,-0.275,-1.302,0.331,-27.954,151.917,38.757
5346.896,-0.194,-1.225,0.261,-42.542,143.982,53.223
5367.304,-0.164,-1.1,0.241,-41.626,136.719,61.035
5387.712,-0.181,-1.146,0.201,-33.447,121.277,60.669
5408.12,-0.141,-1.06,0.334,-39.185,108.521,84.167
5428.528,-0.12,-0.911,0.312,-46.082,116.699,96.13
5448.936,-0.071,-0.825,0.244,-52.429,116.394,102.722
5469.344,-0.01,-0.754,0.294,-57.312,110.474,106.323
5489.752,0.018,-0.786,0.244,-39.063,106.201,106.75
5510.16,0.054,-0.719,0.223,-34.851,104.553,116.821
5530.568,0.146,-0.533,0.086,-22.827,102.966,127.38
5550.976,0.24,-0.398,0.095,-22.705,90.82,132.568
5571.384,0.352,-0.283,0.148,-12.756,75.684,124.695
5591.792,0.473,-0.226,0.24,-6.348,66.162,117.615
5612.2,0.519,-0.154,0.266,1.587,68.176,113.586
5632.608,0.568,-0.017,0.201,16.418,66.956,105.713
5653.016,0.624,0.02,0.218,24.597,57.129,96.252
5673.424,0.723,0.235,0.361,31.738,57.922,85.815
5693.832,0.7,0.2,0.317,41.626,71.472,66.833
5714.24,0.65,0.15,0.135,40.466,74.585,57.312
5734.648,0.762,0.268,0.189,36.133,59.937,59.265
5755.056,0.869,0.443,0.126,40.1,62.012,44.739
5775.464,0.862,0.352,0.119,26.428,63.904,28.381
5795.872,0.879,0.187,0.05,11.353,53.162,20.02
5816.28,0.909,0.198,-0.019,6.897,44.8,24.536
5836.688,1.04,0.43,-0.075,-2.258,15.625,27.893
5857.096,1.095,0.461,-0.002,2.502,-2.441,11.169
5877.504,1.111,0.318,0.058,6.958,-4.211,-0.305
5897.912,1.154,0.239,0.088,11.414,6.531,-5.005
5918.32,1.155,0.191,0.097,17.334,10.437,-6.226
5938.728,1.155,0.173,0.085,18.494,17.212,-5.676
5959.136,1.171,0.184,0.1,18.677,14.954,-9.705
5979.544,1.13,0.117,0.095,14.038,11.292,-16.296
5999.952,1.097,-0.014,0.146,-2.197,18.555,-15.93
6020.36,1.047,-0.063,0.149,-6.592,21.057,-10.62
6040.768,1.012,-0.052,0.137,-8.301,20.935,-2.869
