timestamp,aX,aY,aZ,gX,gY,gZ
7755.04,-1.171,0.011,0.833,184.998,-186.218,-462.158
7775.448,-1.376,0.257,1.038,182.007,-101.685,-481.201
7795.856,-1.684,0.58,0.947,203.43,-51.819,-539.307
7816.264,-2.385,-0.966,1.409,118.958,-50.293,-755.005
7836.672,-2.873,-3.676,2.906,-110.535,-25.024,-868.042
7857.08,-2.765,-4,3.156,33.569,212.769,-503.296
7877.488,-2.686,-2.942,1.643,172.668,390.442,-291.138
7897.896,-2.724,-3.537,1.101,164.551,408.264,-298.706
7918.304,-2.886,-3.788,0.128,355.347,405.151,-140.686
7938.712,-2.79,-3.75,0.086,236.023,354.858,-31.616
7959.12,-2.711,-2.868,0.311,169.983,343.201,114.563
7979.528,-2.38,-1.915,-0.355,212.097,341.003,197.815
7999.936,-2.183,-1.343,-0.141,194.58,288.086,237.183
8020.344,-2.006,-0.971,-0.364,159.302,281.86,241.76
8040.752,-1.945,-1.069,-0.867,143.86,260.132,237.854
8061.16,-1.78,-0.964,-1.039,180.237,149.353,266.418
8081.568,-1.682,-0.871,-1.174,152.527,84.229,293.64
8101.976,-1.624,-0.458,-0.736,138.977,-13,342.468
8122.384,-1.488,-0.188,-0.815,115.54,-35.828,347.839
8142.792,-1.356,0.025,-0.74,97.168,-71.228,318.909
8163.2,-1.223,-0.183,-0.748,122.803,-155.212,268.982
8183.608,-1.287,-0.46,-0.206,103.455,-240.662,273.071
8204.016,-1.294,-0.082,-0.039,101.746,-265.808,305.481
8224.424,-1.339,0.099,0.077,108.521,-287.354,302.551
8244.832,-1.183,-0.102,0.451,97.351,-316.65,272.4
8265.24,-1.218,0.257,0.342,115.54,-278.87,294.617
8285.648,-1.224,0.443,0.183,117.065,-285.889,278.809
8306.056,-1.1,0.128,0.818,142.212,-371.948,206.604
8326.464,-0.902,-0.471,2.173,202.881,-462.83,169.861
8346.872,-0.649,-0.377,3.088,213.44,-417.358,213.562
8367.28,-0.204,0.465,3.9,150.94,-274.658,276.367
8387.688,-0.137,1.027,3.289,123.779,21.545,242.798
