aX,aY,aZ,gX,gY,gZ
-1.872,0.404,1.463,-250.488,278.137,16.846
-1.621,0.967,0.548,-233.093,289.917,13.184
-1.306,1.048,0.484,-287.292,227.600,-58.777
-1.035,0.722,0.775,-401.550,153.015,-194.519
-0.898,0.564,0.993,-454.163,139.954,-258.728
-1.196,0.836,1.114,-413.574,178.345,-328.186
-1.474,0.936,0.475,-229.431,271.667,-382.385
-1.710,0.314,-0.614,-125.916,374.695,-478.821
-1.361,0.013,-1.266,-45.898,265.320,-436.218
-1.122,0.285,-1.171,-17.639,125.000,-367.859
-1.341,0.571,-0.300,-24.597,-37.415,-398.437
-1.432,0.301,-0.112,-4.883,-71.411,-492.310
-1.693,-0.168,-0.070,-25.085,-97.107,-512.024
-1.600,-0.067,0.098,-52.246,-169.189,-470.154
-1.881,0.147,1.131,-169.067,-353.271,-488.953
-2.400,-0.137,1.756,-198.425,-360.901,-545.898
-2.636,-0.462,2.884,-243.958,-375.244,-596.924
-2.838,-0.784,3.035,143.860,-110.413,-603.638
-3.105,-1.332,2.483,478.088,125.916,-666.443
-2.445,-1.916,1.279,589.478,291.321,-362.976
-2.310,-1.988,0.622,437.927,354.492,-220.459
-1.116,-2.123,0.155,255.676,325.195,-183.105
-1.313,-2.590,0.789,229.004,252.686,-100.952
-1.546,-2.808,0.450,220.337,366.516,-49.805
-1.646,-1.911,-1.008,450.928,455.078,135.681
-1.725,-1.452,-1.351,370.605,384.399,169.739
-1.677,-1.556,-1.477,229.675,246.460,139.526
-1.670,-1.747,-1.159,143.372,119.141,174.744
-1.714,-1.811,-0.699,160.156,80.750,222.168
-1.556,-1.108,-0.707,250.854,37.048,323.914
-1.356,-0.753,-0.537,149.414,8.118,352.173
-1.194,-0.638,-0.478,78.430,18.372,358.948
-1.192,-0.181,-0.670,129.639,29.968,395.874
-0.855,0.246,-1.079,139.465,-10.742,350.342
-0.546,0.183,-0.694,150.635,-117.371,254.822
-0.296,0.220,-0.401,175.049,-145.264,231.628
-0.146,0.569,-0.174,177.795,-134.583,216.309
0.005,0.629,-0.355,144.714,-107.178,163.086
0.155,0.460,-0.303,78.369,-133.667,100.952
0.198,0.361,-0.348,49.438,-141.602,91.614
0.444,0.373,-0.187,2.502,-192.993,87.341
0.535,0.484,0.173,16.052,-225.159,87.036
0.684,0.528,0.339,-3.723,-164.856,61.768
0.857,0.546,0.390,16.235,-142.395,39.978
0.961,0.488,0.598,26.611,-116.760,1.892
1.106,0.163,0.532,-4.761,-75.256,-28.137
1.229,0.153,0.472,-15.686,-47.485,-13.794
1.236,0.133,0.275,-5.188,-27.710,-26.794
1.171,-0.045,0.126,4.517,-19.897,-33.081
1.197,-0.045,0.003,-11.292,-14.526,-17.212
1.228,-0.035,0.090,-25.330,-21.057,-17.822
1.206,-0.172,0.089,-5.493,-10.010,-28.931
1.177,-0.195,0.067,-3.052,-7.996,-13.367
1.178,-0.158,0.133,-8.728,2.258,-4.517
1.172,-0.017,-0.024,10.132,14.526,2.258
1.135,-0.015,-0.007,9.705,8.667,-0.244
1.093,0.014,-0.013,9.094,13.062,8.362
1.037,0.006,-0.010,-3.967,14.648,8.728
1.016,0.028,-0.022,-1.770,18.738,12.329
0.980,0.014,-0.078,-2.014,20.691,4.211
0.955,-0.088,-0.152,3.845,15.625,1.465
0.940,-0.038,-0.096,1.648,7.812,8.118
0.934,-0.079,-0.096,0.977,14.404,9.155
0.921,-0.029,-0.158,5.981,14.282,10.437
0.946,0.033,-0.099,3.113,3.906,7.080
0.946,0.040,-0.082,4.150,4.150,1.770
0.940,-0.136,-0.094,-3.296,8.057,-1.953
0.951,-0.038,-0.123,3.784,7.080,10.498
0.955,0.003,-0.124,-0.671,7.385,4.333
0.976,-0.006,-0.129,-1.038,4.089,4.395
0.992,0.011,-0.139,-5.554,1.404,2.319
1.005,-0.034,-0.078,7.385,-3.235,-2.991
0.998,-0.044,-0.056,8.972,-2.502,-2.747
1.002,-0.057,-0.074,2.197,2.075,1.282
0.997,-0.010,-0.097,-1.526,3.906,1.953
0.983,-0.097,-0.110,-0.610,4.333,1.465
1.001,0.016,-0.116,0.732,5.920,10.132
1.001,0.053,-0.120,3.601,4.883,4.944
0.986,-0.048,-0.140,-2.197,3.723,-1.953
0.985,-0.034,-0.103,1.404,1.282,1.038
0.980,-0.007,-0.095,-0.549,3.967,-0.183
0.986,-0.084,-0.122,-2.075,4.761,0.244
0.978,-0.016,-0.087,2.441,2.869,2.136
0.978,-0.070,-0.122,3.723,5.127,0.793
0.965,-0.016,-0.123,6.409,3.540,3.113
0.964,-0.047,-0.161,4.028,4.944,0.549
0.983,0.020,-0.140,7.690,1.099,3.601

1.000,0.706,-0.884,-1.526,144.043,-32.471
0.905,0.435,-0.475,-12.512,84.351,-75.806
0.682,0.093,-0.504,8.057,119.934,-88.623
0.584,0.138,-0.829,16.663,150.452,-68.054
0.342,0.207,-1.081,16.785,134.521,-71.960
0.173,0.074,-1.189,10.620,120.056,-79.285
-0.254,0.114,-1.573,6.897,111.633,-59.631
-0.659,0.416,-2.013,5.371,102.783,-78.125
-1.131,0.238,-2.655,-8.423,-1.099,-119.995
-1.471,-0.280,-2.346,-62.317,-199.829,-120.361
-1.618,-0.118,-1.657,-51.514,-345.032,-86.243
-2.059,-0.263,-0.959,1.953,-403.259,-131.165
-2.460,-1.213,-0.422,23.254,-542.175,-201.660
-2.836,-1.930,0.822,-54.688,-660.767,-150.208
-3.083,-1.772,1.080,-27.771,-632.141,16.418
-3.376,-1.594,0.696,-51.453,-605.347,162.231
-3.314,-1.157,1.315,-144.043,-662.781,340.332
-2.527,0.025,2.306,-121.765,-723.633,371.216
-2.290,-0.625,2.923,-142.395,-572.510,222.168
-2.132,-1.002,2.885,-102.539,-429.993,255.615
-2.094,-0.799,3.201,-81.970,-355.713,354.736
-2.360,-0.757,3.464,-111.816,-217.102,419.861
-2.433,-0.100,3.167,-87.891,-73.059,509.521
-2.463,1.363,2.201,-42.358,60.852,601.013
-1.889,1.660,1.892,-127.625,42.725,522.461
-1.402,1.436,2.611,-283.691,-80.566,227.478
-1.442,0.864,3.281,-371.521,-62.134,87.952
-1.637,0.253,2.584,-294.922,207.153,50.232
-1.570,0.658,1.498,-248.169,336.426,123.901
-1.252,1.430,0.649,-264.648,313.599,87.585
-0.994,1.247,0.312,-311.218,227.417,-76.599
-0.522,0.521,0.461,-356.689,155.823,-131.653
-0.270,0.519,0.669,-284.180,158.203,-117.859
-0.228,0.654,0.620,-226.501,187.012,-115.601
-0.450,0.895,0.347,-142.578,246.094,-111.755
-0.642,1.081,-0.116,-78.430,288.818,-113.953
-0.745,1.419,-0.668,-11.658,281.433,-137.085
-0.758,1.517,-0.637,-1.770,193.970,-191.650
-0.949,1.077,-0.219,-32.288,96.741,-317.871
-1.131,0.695,-0.117,6.714,60.181,-392.761
-1.284,0.483,-0.090,9.644,43.884,-422.241
-1.307,0.119,-0.014,-42.480,13.062,-443.481
-1.390,-0.071,0.086,-89.111,-19.653,-438.049
-1.421,-0.035,0.315,-110.291,-69.946,-408.875
-1.496,-0.069,0.316,-96.008,-93.323,-425.903
