aX,aY,aZ,gX,gY,gZ
0.977,0.021,-0.116,3.052,0.122,0.244
0.966,-0.030,-0.108,2.686,3.052,0.671
0.966,0.053,-0.147,6.042,5.981,5.737
0.956,0.067,-0.168,1.465,2.930,-1.221

-0.753,0.783,1.831,175.476,-418.091,37.109
-0.622,0.852,2.236,131.531,-381.226,-30.762
-0.632,0.393,2.513,87.524,-305.725,-145.447
-0.639,0.104,2.512,56.030,-261.414,-187.500
-0.758,-0.511,2.928,9.521,-254.333,-231.140
-0.629,-0.585,3.038,-14.465,-169.373,-163.330
-0.413,0.123,3.018,111.328,-125.061,-125.977
-0.635,0.289,3.057,138.245,-19.165,-195.618
-0.857,-0.282,2.778,118.896,66.345,-273.132
-0.801,-0.886,1.934,102.600,160.828,-284.424
-0.604,-0.614,1.583,83.435,163.086,-224.670
-0.460,-0.037,1.826,10.437,122.986,-196.289
-0.555,0.022,2.066,4.272,121.826,-231.995
-0.793,-0.733,1.710,-24.048,196.655,-328.125
-0.752,-1.176,1.512,0.671,200.073,-382.935
-0.522,-1.171,1.545,12.634,192.444,-296.387
-0.754,-1.105,1.610,39.734,217.285,-214.294
-0.971,-1.474,1.427,57.800,250.854,-237.488
-1.004,-1.810,0.965,83.008,298.706,-183.167
-1.007,-1.652,0.510,137.756,312.805,-104.431
-0.925,-1.605,0.072,123.840,261.047,-57.800
-0.807,-1.829,0.190,15.442,171.631,-20.386
-0.662,-1.789,0.745,16.724,156.067,44.861
-0.528,-1.100,0.584,121.704,209.717,141.968
-0.405,-0.730,0.139,154.602,232.056,164.246
-0.184,-0.544,-0.051,125.122,180.908,146.973
-0.146,-0.630,0.212,94.604,151.245,128.479
-0.140,-0.641,0.058,81.970,172.546,139.709
-0.061,-0.510,-0.134,86.914,166.870,154.724
0.052,-0.366,-0.068,92.102,123.840,163.574
0.124,-0.136,-0.083,102.478,102.844,174.133
0.192,-0.046,-0.197,102.905,78.003,150.818
0.302,-0.081,-0.193,88.623,48.340,138.367
0.478,-0.071,0.118,34.668,10.864,134.644
0.567,0.209,0.277,63.538,15.320,149.475
0.692,0.444,0.064,73.853,51.941,137.878
0.783,0.581,-0.109,59.998,40.771,126.953
0.862,0.672,-0.072,42.908,1.648,88.745
0.962,0.475,0.073,23.621,-4.578,63.293
0.975,0.629,0.066,43.579,-4.211,66.528
1.047,0.853,0.060,53.223,-14.038,39.734
1.082,0.695,0.130,30.090,-10.132,4.944
1.089,0.465,0.271,3.967,4.639,-11.169
1.069,0.255,0.164,-6.775,25.085,-15.137
1.087,0.351,0.057,0.305,26.672,0.610
1.037,0.348,-0.002,7.263,25.696,-6.592
1.009,0.205,-0.045,6.104,18.311,-14.587
1.005,0.142,-0.052,2.319,13.733,-14.404
0.951,0.080,-0.016,-2.625,10.437,-9.583
0.939,0.056,-0.016,-6.531,14.587,-4.150
0.949,0.168,-0.076,0.305,12.695,0.854
0.955,0.089,-0.097,1.953,8.789,-8.972
0.991,0.043,-0.037,4.639,1.892,-9.766
